,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
773,6461320,COMMERCIAL,1100786.0,2016-01-27,2016-11-23,Permit Closed,47.67402392,-122.2637024
780,6405731,MULTIFAMILY,3232908.0,2014-12-23,2016-11-17,Permit Closed,47.56127513,-122.3886209
814,6329942,MULTIFAMILY,2649941.0,2013-10-25,2015-02-24,Permit Closed,47.62301247,-122.3233857
995,6327457,MULTIFAMILY,1630417.0,2013-06-08,2015-01-28,Permit Closed,47.69041968,-122.3598097
1819,6399403,COMMERCIAL,2050000.0,2014-07-09,2016-03-28,Permit Closed,47.62304677,-122.3407984
1927,6369620,COMMERCIAL,2844222.0,2014-01-09,2015-07-24,Permit Closed,47.62264265,-122.33941029999998
2034,6456300,MULTIFAMILY,1019455.0,2016-01-20,2017-02-13,Cert of Occupancy Authorized,47.7324989,-122.3438107
2171,6355935,COMMERCIAL,1750000.0,2013-08-16,2015-06-16,Permit Finaled,47.61336267,-122.3190838
2180,6357953,MULTIFAMILY,1133740.0,2013-07-27,2014-03-27,Permit Closed,47.54372303,-122.3673479
2264,6373481,MULTIFAMILY,1252863.0,2014-03-03,2014-10-24,Permit Closed,47.60204123,-122.31047240000002
2533,6342717,COMMERCIAL,32360177.0,2015-02-11,2017-03-08,Permit Closed,47.60649933,-122.3399674
2574,6352828,COMMERCIAL,12074956.0,2014-04-15,2016-02-23,Permit Closed,47.61273006,-122.3028953
2614,6257754,MULTIFAMILY,2264568.0,2014-02-07,2015-01-20,Permit Closed,47.71986382,-122.2929826
2835,6332903,MULTIFAMILY,1399632.0,2013-11-12,2015-07-15,Permit Closed,47.69321735,-122.35414140000002
3274,6372508,MULTIFAMILY,3193802.0,2014-07-23,2016-09-08,Cert of Occupancy Authorized,47.61834052,-122.30917340000002
3497,6372434,INDUSTRIAL,1040125.0,2013-12-24,2015-11-19,Permit Closed,47.57070622,-122.3301196
3567,6338150,MULTIFAMILY,1866445.0,2015-02-07,2017-02-10,Permit Closed,47.62615808,-122.3513117
3826,6405410,COMMERCIAL,8274511.0,2015-03-26,2016-07-26,Cert of Occupancy Authorized,47.66601132,-122.3772692
3833,6369916,MULTIFAMILY,5400136.0,2014-04-01,2015-07-17,Permit Closed,47.63204687,-122.3601297
4221,6424483,COMMERCIAL,37237341.0,2015-03-09,2016-11-03,Permit Closed,47.60039583,-122.3324886
4256,6338392,MULTIFAMILY,7933490.0,2014-06-07,2015-10-19,Permit Closed,47.66366765,-122.3145098
4301,6305188,COMMERCIAL,4505285.0,2013-08-29,2015-01-08,Permit Closed,47.67040625,-122.3827844
4336,6254208,COMMERCIAL,25246187.0,2014-07-29,2015-12-23,Permit Closed,47.62345613,-122.3340971
4719,6337152,INSTITUTIONAL,4000000.0,2013-06-17,2014-09-29,Permit Closed,47.55257901,-122.3802058
4889,6369367,COMMERCIAL,3920887.0,2014-09-15,2016-02-03,Permit Closed,47.6634884,-122.3161243
4906,6443916,COMMERCIAL,2200000.0,2015-07-01,2016-08-30,Permit Closed,47.62267378,-122.36041670000002
5282,6371868,MULTIFAMILY,3968038.0,2015-05-28,2017-02-17,Permit Closed,47.6184506,-122.3547689
5412,6336739,MULTIFAMILY,39372941.0,2014-04-14,2016-03-03,Permit Closed,47.61445461,-122.3241936
5761,6283699,COMMERCIAL,1705889.0,2013-10-07,2017-03-30,Cert of Occupancy Authorized,47.61803417,-122.30642240000002
6107,6419979,MULTIFAMILY,1607883.0,2015-02-28,2016-02-09,Permit Finaled,47.66113035,-122.3459842
6498,6306279,MULTIFAMILY,36678888.0,2013-12-06,2016-03-30,Permit Closed,47.62221174,-122.3355992
6530,6415053,MULTIFAMILY,1377173.0,2016-01-06,2016-11-02,Permit Closed,47.67724011,-122.291275
7702,6415654,COMMERCIAL,5006110.0,2015-04-17,2017-03-31,Permit Closed,47.63596506,-122.3262126
7777,6335178,MULTIFAMILY,1782468.0,2013-05-03,2014-11-04,Cert of Occupancy Authorized,47.61911369,-122.31718899999998
8130,6162727,COMMERCIAL,29975811.0,2013-09-19,2015-09-21,Permit Closed,47.56122456,-122.381916
8133,6472745,COMMERCIAL,24269577.0,2016-02-03,2017-03-17,Permit Closed,47.70619241,-122.3258761
8170,6406689,MULTIFAMILY,1010329.0,2015-05-23,2016-11-22,Permit Closed,47.59298589,-122.3834815
8474,6334368,INSTITUTIONAL,3295239.0,2013-07-12,2015-02-10,Permit Closed,47.65502413,-122.2979185
8798,6291990,COMMERCIAL,5818738.0,2013-10-08,2015-08-28,Permit Closed,47.7325639,-122.3559097
8887,6403730,COMMERCIAL,32048979.0,2014-08-21,2016-04-11,Permit Closed,47.62893599,-122.3414135
9290,6268969,MULTIFAMILY,13627890.0,2014-12-18,2014-12-18,Permit Closed,47.62490137,-122.3655399
9635,6392644,MULTIFAMILY,1880519.0,2014-08-22,2016-02-19,Permit Closed,47.56184103,-122.3883687
9643,6282461,COMMERCIAL,1099065.0,2014-06-02,2016-03-23,Cert of Occupancy Authorized,47.56965147,-122.2901043
9667,6367752,MULTIFAMILY,48246251.0,2014-06-10,2016-05-26,Permit Closed,47.62677806,-122.3417152
9669,6347128,MULTIFAMILY,12054147.0,2013-09-07,2015-07-16,Permit Closed,47.66277096,-122.3167336
9896,6425246,COMMERCIAL,6053467.0,2015-06-15,2017-02-28,Permit Closed,47.60420403,-122.3183261
10118,6321397,COMMERCIAL,10259705.0,2013-09-13,2015-11-18,Permit Closed,47.56083821,-122.3864761
10221,6357936,COMMERCIAL,3258260.0,2013-10-10,2014-12-08,Permit Closed,47.66144483,-122.387245
10361,6354400,COMMERCIAL,12393074.0,2015-05-21,2017-01-23,Permit Closed,47.64804333,-122.3566887
10654,6340569,COMMERCIAL,13869001.0,2013-05-24,2015-10-08,Permit Closed,47.61523711,-122.33836399999998
10828,6320888,COMMERCIAL,37996824.0,2014-05-19,2017-03-29,Permit Closed,47.61507396,-122.3275934
10829,6338691,MULTIFAMILY,1245069.0,2013-09-17,2015-03-06,Cert of Occupancy Authorized,47.67062562,-122.3794832
10951,6270553,COMMERCIAL,38615380.0,2015-11-30,2015-12-02,Permit Closed,47.66786255,-122.3811338
11189,6323430,MULTIFAMILY,2678538.0,2013-10-22,2015-12-04,Permit Closed,47.59055076,-122.2920699
11881,6351824,COMMERCIAL,3197568.0,2014-07-24,2016-08-16,Permit Closed,47.60594155,-122.3147824
12251,6223833,COMMERCIAL,3452437.0,2015-02-24,2017-02-08,Permit Closed,47.61946557,-122.3549321
12776,6098854,COMMERCIAL,2823000.0,2014-08-18,2016-09-26,Permit Finaled,47.64790943,-122.3381579
12990,6432554,MULTIFAMILY,1398639.0,2015-07-07,2016-12-12,Cert of Occupancy Authorized,47.65218971,-122.3488791
13069,6402734,MULTIFAMILY,1250000.0,2015-06-19,2016-09-20,Permit Closed,47.62652445,-122.36188500000002
13082,6406127,MULTIFAMILY,1088154.0,2015-05-12,2016-11-09,Cert of Occupancy Authorized,47.66462636,-122.3080649
13122,6424610,INSTITUTIONAL,1422699.0,2015-03-26,2017-01-31,Permit Closed,47.65162035,-122.3129426
13228,6384010,MULTIFAMILY,1028060.0,2014-08-21,2016-05-05,Permit Finaled,47.62440845,-122.3139213
13239,6357335,MULTIFAMILY,16000000.0,2014-05-21,2015-12-22,Permit Closed,47.60189636,-122.3218343
13661,6347127,MULTIFAMILY,1875624.0,2013-09-07,2015-07-16,Permit Closed,47.66218798,-122.3168121
13823,6375339,MULTIFAMILY,16777206.0,2014-09-10,2017-01-06,Permit Closed,47.59941516,-122.328589
13828,6330639,COMMERCIAL,1731201.0,2013-06-18,2014-10-30,Cert of Occupancy Authorized,47.61728899,-122.316704
13870,6310152,MULTIFAMILY,2741700.0,2014-10-10,2016-08-09,Permit Closed,47.60282807,-122.3171044
13881,6371164,MULTIFAMILY,1200000.0,2014-03-11,2015-09-30,Permit Closed,47.67607614,-122.3184738
14119,6300726,COMMERCIAL,3555000.0,2013-06-11,2015-04-06,Permit Closed,47.56724864,-122.3077676
14221,6368919,MULTIFAMILY,11343559.0,2015-02-04,2017-01-10,Permit Closed,47.64769819,-122.3357445
14455,6306055,MULTIFAMILY,5244767.0,2013-08-13,2015-02-23,Permit Closed,47.6575664,-122.3158551
14541,6170569,COMMERCIAL,15849508.0,2013-11-13,2013-11-15,Permit Closed,47.66838544,-122.37200690000002
14803,6362241,MULTIFAMILY,3340052.0,2014-04-01,2016-05-18,Permit Closed,47.67549945,-122.3869655
14809,6380059,COMMERCIAL,68456803.0,2014-12-31,2017-03-27,Permit Closed,47.62334132,-122.3345852
15211,6422105,MULTIFAMILY,2034789.0,2015-11-25,2017-01-20,Permit Closed,47.66168854,-122.343299
15217,6356725,MULTIFAMILY,1217468.0,2013-10-29,2015-08-31,Permit Closed,47.54894465,-122.3875175
15542,6366843,COMMERCIAL,1800000.0,2014-05-27,2016-08-12,Permit Closed,47.56349829,-122.3764051
15655,6191419,COMMERCIAL,2025448.0,2014-08-04,2016-09-26,Permit Closed,47.56349829,-122.3764051
15699,6334523,MULTIFAMILY,3895315.0,2014-09-18,2016-06-14,Permit Closed,47.64614289,-122.3249911
15749,6339006,MULTIFAMILY,4575346.0,2013-05-15,2014-09-05,Permit Closed,47.61975799,-122.314684
15767,6378214,MULTIFAMILY,4618550.0,2014-09-29,2016-05-25,Permit Closed,47.60024388,-122.3350917
15902,6303152,MULTIFAMILY,13933837.0,2013-09-07,2015-07-16,Permit Closed,47.66249799,-122.3167672
16045,6331518,MULTIFAMILY,11597587.0,2014-04-11,2016-06-28,Permit Closed,47.60009582,-122.328416
16730,6366650,COMMERCIAL,1500000.0,2014-05-21,2015-12-10,Permit Closed,47.61507396,-122.3275934
17117,6350629,COMMERCIAL,15147171.0,2014-12-03,2016-10-12,Permit Closed,47.61387582,-122.3252557
17180,6398645,MULTIFAMILY,1060000.0,2015-01-06,2016-06-01,Permit Closed,47.62233781,-122.3165435
17280,6365081,COMMERCIAL,10222562.0,2013-10-02,2015-06-11,Permit Closed,47.58538659,-122.3231348
17364,6366004,COMMERCIAL,3000000.0,2014-05-17,2016-07-29,Permit Closed,47.65310607,-122.34318020000002
17449,6352823,MULTIFAMILY,19380313.0,2014-05-14,2015-12-01,Permit Closed,47.55977042,-122.3832189
17477,6429047,INSTITUTIONAL,17748284.0,2015-03-30,2016-10-12,Permit Closed,47.71343606,-122.314673
17954,6337353,MULTIFAMILY,6167115.0,2013-07-15,2014-10-10,Cert of Occupancy Authorized,47.61933063,-122.3218517
18122,6356077,COMMERCIAL,1150500.0,2014-02-16,2016-02-23,Permit Closed,47.61273006,-122.3028953
18398,6345955,MULTIFAMILY,1447765.0,2014-03-13,2015-06-12,Cert of Occupancy Authorized,47.66930636,-122.3115983
18549,6336323,MULTIFAMILY,19589263.0,2015-01-22,2016-09-26,Permit Closed,47.57489783,-122.3864325
18581,6314548,COMMERCIAL,25123512.0,2014-03-04,2015-08-26,Permit Closed,47.61754059,-122.33621940000002
18615,6398637,MULTIFAMILY,42070592.0,2015-01-21,2016-10-12,Permit Closed,47.61181606,-122.3231999
18657,6359891,MULTIFAMILY,1003573.0,2013-10-05,2014-08-13,Permit Closed,47.70488348,-122.3395486
18753,6314549,COMMERCIAL,13750828.0,2013-08-15,2015-06-02,Permit Closed,47.56013448,-122.3864298
18836,6337899,COMMERCIAL,17650659.0,2014-11-14,2016-09-08,Permit Closed,47.69034191,-122.3584354
19106,6428629,MULTIFAMILY,3862249.0,2015-06-08,2017-03-29,Permit Closed,47.65026619,-122.321914
19305,6395342,SINGLE FAMILY / DUPLEX,1250577.0,2015-07-09,2017-02-16,Permit Closed,47.69253539,-122.3776106
19465,6374351,MULTIFAMILY,1920000.0,2014-04-17,2015-10-07,Permit Closed,47.61445461,-122.3241936
19493,6403673,MULTIFAMILY,1200156.0,2015-06-10,2017-02-28,Cert of Occupancy Authorized,47.659998,-122.3211243
19995,6307282,COMMERCIAL,30741554.0,2013-09-13,2015-07-07,Cert of Occupancy Authorized,47.61336267,-122.3190838
20168,6352586,INSTITUTIONAL,6361904.0,2014-07-03,2015-08-03,Permit Closed,47.61172224,-122.3157095
20196,6436863,MULTIFAMILY,1228889.0,2015-04-23,2016-12-14,Permit Finaled,47.55728664,-122.3818713
20321,6370623,MULTIFAMILY,4446557.0,2014-04-14,2015-05-08,Cert of Occupancy Authorized,47.62266792,-122.3250251
20662,6369324,COMMERCIAL,4179902.0,2013-11-22,2015-04-16,Permit Closed,47.62154693,-122.3401645
21209,6361128,COMMERCIAL,11081844.0,2013-10-02,2015-06-11,Permit Closed,47.58542454,-122.3218658
21450,6374401,MULTIFAMILY,4921956.0,2015-02-25,2016-07-14,Permit Closed,47.66554497,-122.3178776
21452,6314268,COMMERCIAL,25232064.0,2014-09-09,2016-06-15,Permit Closed,47.62069226,-122.3413943
21456,6432244,COMMERCIAL,9643078.0,2015-03-18,2016-08-09,Permit Closed,47.57973893,-122.31172
21462,6404207,MULTIFAMILY,4948813.0,2014-10-16,2016-04-15,Permit Closed,47.56015232,-122.29044679999998
21652,6322630,MULTIFAMILY,9291484.0,2015-01-23,2015-01-23,Permit Closed,47.62366955,-122.3603143
21861,6382268,MULTIFAMILY,17075859.0,2014-07-18,2016-02-19,Permit Closed,47.66976863,-122.3815462
21875,6285569,COMMERCIAL,21240528.0,2013-06-05,2014-09-22,Permit Closed,47.61834907,-122.34833059999998
21887,6345829,MULTIFAMILY,1200000.0,2015-05-05,2017-02-21,Permit Closed,47.65646419,-122.3181508
21939,6358785,INSTITUTIONAL,16407444.0,2014-06-17,2016-11-17,Permit Closed,47.64880393,-122.340799
21943,6402967,INSTITUTIONAL,1846815.0,2014-06-17,2016-11-17,Permit Closed,47.64880393,-122.340799
21945,6402966,INSTITUTIONAL,1425632.0,2014-06-17,2016-11-17,Permit Closed,47.64880393,-122.340799
22024,6363672,INSTITUTIONAL,16080523.0,2014-09-03,2017-01-27,Permit Closed,47.56549837,-122.3969031
22077,6298606,MULTIFAMILY,1937463.0,2013-04-25,2014-11-19,Permit Closed,47.65181878,-122.3437114
22114,6365079,COMMERCIAL,10226666.0,2013-10-02,2015-06-11,Permit Closed,47.58580679,-122.3231212
22315,6442754,INDUSTRIAL,1917833.0,2015-02-28,2016-01-26,Permit Closed,47.58195201,-122.357711
22360,6332258,COMMERCIAL,19941156.0,2015-06-06,2017-03-03,Permit Closed,47.69908317,-122.3281009
22447,6362067,MULTIFAMILY,1924615.0,2014-09-20,2015-10-02,Permit Closed,47.60187557,-122.3108216
22457,6368859,MULTIFAMILY,10666169.0,2015-01-07,2017-03-23,Permit Closed,47.64827306,-122.3357527
22526,6360802,COMMERCIAL,5584163.0,2014-08-18,2015-11-20,Permit Closed,47.65295277,-122.3559441
22577,6308275,MULTIFAMILY,10137862.0,2015-01-15,2015-03-02,Permit Closed,47.61994888,-122.3238534
22792,6330059,MULTIFAMILY,20118652.0,2013-05-01,2014-11-13,Permit Closed,47.65155384,-122.3443593
23107,6309251,MULTIFAMILY,2026988.0,2014-04-04,2017-01-19,Permit Closed,47.61727963,-122.303478
23766,6357952,MULTIFAMILY,1133740.0,2013-07-27,2014-04-22,Permit Closed,47.54365066,-122.367723
23831,6365080,COMMERCIAL,10940686.0,2013-10-02,2015-06-11,Permit Closed,47.58577803,-122.3218707
23949,6360716,INSTITUTIONAL,16563290.0,2014-03-07,2015-10-27,Permit Closed,47.65575639,-122.3166677
24223,6356939,COMMERCIAL,1500000.0,2014-07-29,2015-12-10,Permit Closed,47.62345613,-122.3340971
24239,6358207,MULTIFAMILY,1098353.0,2013-07-25,2014-08-25,Permit Closed,47.63686807,-122.32757340000002
24362,6285190,COMMERCIAL,23355824.0,2013-11-26,2016-04-18,Permit Closed,47.62008761,-122.3479865
24448,6281378,COMMERCIAL,11750000.0,2013-09-11,2015-09-24,Permit Closed,47.67054426,-122.3880165
24562,6352578,COMMERCIAL,6739070.0,2015-07-20,2016-12-16,Permit Closed,47.62422755,-122.3571004
24741,6353535,COMMERCIAL,26621027.0,2014-02-24,2015-06-01,Permit Closed,47.61665268,-122.3326278
25044,6153914,MULTIFAMILY,12859426.0,2013-06-03,2014-11-20,Permit Closed,47.55680616,-122.3864579
25049,6284918,COMMERCIAL,65935756.0,2014-02-24,2015-08-07,Permit Closed,47.62264265,-122.33941029999998
25597,6398415,INSTITUTIONAL,14000000.0,2015-03-09,2017-01-25,Permit Closed,47.50970617,-122.3776024
25602,6383857,MULTIFAMILY,10666169.0,2015-01-07,2017-03-23,Permit Closed,47.64827306,-122.3357527
25944,6379894,MULTIFAMILY,1100891.0,2014-09-02,2015-11-06,Permit Closed,47.67181283,-122.3845165
26045,6353526,COMMERCIAL,2069779.0,2014-06-27,2016-03-15,Permit Closed,47.61070574,-122.3413759
26104,6451574,MULTIFAMILY,1100000.0,2015-07-25,2016-09-19,Permit Closed,47.66196595,-122.3041538
26151,6368063,MULTIFAMILY,1626014.0,2014-04-08,2015-09-21,Permit Closed,47.6711164,-122.3885174
26427,6321396,COMMERCIAL,28213447.0,2013-09-13,2015-11-18,Permit Closed,47.5608203,-122.3859015
26685,6339621,COMMERCIAL,6663300.0,2013-06-19,2015-04-30,Permit Closed,47.56173976,-122.2672787
